chip_id,chip_x,chip_y,tile,valid_first,valid_second,valid_third,bad_pct_first,bad_pct_second,bad_pct_third,first_image_date,second_image_date,third_image_date,bad_pct_max,na_count,usage
chip_003_062,-122.43442543267628,48.90740987467325,10UEV,50151.0,50131.0,49341.0,0.0139508928571428,0.0458386479591836,0.4045758928571428,2022/03/06,2022/07/19,2022/09/27,0.4045758928571428,0.0,train
chip_003_063,-122.3473106443478,48.924176732344,10UEV,50137.0,50109.0,49012.0,0.0418526785714285,0.0757334183673469,0.6098533163265306,2022/03/06,2022/07/19,2022/09/27,0.6098533163265306,0.0,train
chip_004_063,-122.32253645977414,48.86535490833876,10UEV,50152.0,50077.0,49119.0,0.0358737244897959,0.09765625,1.092155612244898,2022/03/06,2022/07/19,2022/09/27,1.092155612244898,0.0,train
chip_009_061,-122.3726516865262,48.53804067430916,10UEU,49861.0,50165.0,49754.0,0.4065688775510204,0.0119579081632653,0.4364636479591837,2022/06/24,2022/07/29,2022/09/27,0.4364636479591837,0.0,train
chip_010_062,-122.2614434411784,48.49600039695637,10UEU,49834.0,49982.0,46735.0,0.2630739795918367,0.1514668367346938,4.733338647959184,2022/06/24,2022/07/29,2022/09/27,4.733338647959184,0.0,train
chip_010_063,-122.17483951967333,48.512632291985625,10UEU,50105.0,49697.0,48291.0,0.0298947704081632,0.2272002551020408,1.4130261479591837,2022/06/24,2022/07/29,2022/09/27,1.4130261479591837,0.0,train
chip_019_091,-119.53227053123878,48.42383087083897,10UGU,49847.0,49963.0,49680.0,0.217235331632653,0.1116071428571428,0.2411511479591837,2022/06/26,2022/08/15,2022/09/24,0.2411511479591837,0.0,train
chip_022_126,-116.40013317333724,48.73523353501557,11UNQ,50056.0,50176.0,49197.0,0.0876913265306122,0.0,0.5580357142857143,2022/07/20,2022/08/29,2022/09/28,0.5580357142857143,0.0,train
chip_024_087,-119.76940995500992,48.06815258598648,10UGU,50004.0,49865.0,49932.0,0.1155931122448979,0.1913265306122449,0.1733896683673469,2022/06/26,2022/08/15,2022/09/24,0.1913265306122449,0.0,train
chip_024_088,-119.68276950018672,48.08321333735223,10UGU,49964.0,50166.0,50001.0,0.1534598214285714,0.0099649234693877,0.0577965561224489,2022/06/26,2022/08/15,2022/09/24,0.1534598214285714,0.0,train
chip_025_082,-120.17952904798663,47.933088238824666,10UGU,50161.0,50159.0,50158.0,0.0139508928571428,0.0099649234693877,0.0159438775510204,2022/06/26,2022/08/15,2022/09/24,0.0159438775510204,0.0,train
chip_026_083,-120.0708028535798,47.8894212277779,10UGU,49804.0,50165.0,50160.0,0.5400988520408163,0.0079719387755102,0.0119579081632653,2022/06/26,2022/08/15,2022/09/24,0.5400988520408163,0.0,train
chip_026_110,-117.72598098708002,48.28220244397738,11UMP,49470.0,50159.0,49924.0,0.4544005102040816,0.021922831632653,0.119579081632653,2022/06/23,2022/08/17,2022/09/26,0.4544005102040816,0.0,train
chip_027_110,-117.7056714523142,48.22279088009813,11UMP,49984.0,50170.0,49900.0,0.1175860969387755,0.0119579081632653,0.3647161989795918,2022/06/23,2022/08/17,2022/09/26,0.3647161989795918,0.0,train
chip_030_042,-123.47357440011535,46.98694343925654,10TDT,50024.0,50166.0,50102.0,0.0956632653061224,0.0119579081632653,0.039859693877551,2022/06/24,2022/07/19,2022/09/07,0.0956632653061224,0.0,train
chip_030_076,-120.58290921557744,47.54595560803642,10TFT,50154.0,50170.0,50138.0,0.0279017857142857,0.0059789540816326,0.0338807397959183,2022/06/26,2022/07/31,2022/09/24,0.0338807397959183,0.0,train
chip_030_093,-119.1195727733066,47.80294005655298,11ULP,49849.0,50176.0,49842.0,0.2610809948979591,0.0,0.4165338010204081,2022/03/05,2022/08/07,2022/09/21,0.4165338010204081,0.0,train
chip_030_097,-118.77359915989038,47.86119058645404,11ULP,48427.0,50176.0,47310.0,1.700015943877551,0.0,4.434390943877551,2022/03/05,2022/08/07,2022/09/21,4.434390943877551,0.0,train
