cloud_mask_id,cloud_pct,usage,bin
chip_156_008_0_cmask,0.0676219706632653,train,0.01-0.1
chip_156_008_2_cmask,0.8982382015306123,train,0.8-0.9
chip_156_008_3_cmask,0.3897480867346938,train,0.3-0.4
chip_156_008_4_cmask,0.3199139030612244,train,0.3-0.4
chip_156_008_5_cmask,0.2342952806122449,train,0.2-0.3
chip_174_017_0_cmask,1.0,train,0.9-1.0
chip_174_017_1_cmask,0.7969547193877551,train,0.7-0.8
chip_174_017_2_cmask,1.0,train,0.9-1.0
chip_174_017_3_cmask,0.1634446747448979,train,0.1-0.2
chip_174_017_4_cmask,0.9889787946428572,train,0.9-1.0
chip_174_015_0_cmask,0.9997807716836736,train,0.9-1.0
chip_174_015_1_cmask,0.0135522959183673,train,0.01-0.1
chip_174_015_2_cmask,1.0,train,0.9-1.0
chip_174_015_3_cmask,0.4313616071428571,train,0.4-0.5
chip_174_015_4_cmask,0.9916493941326532,train,0.9-1.0
chip_174_015_5_cmask,0.9998804209183674,train,0.9-1.0
chip_169_015_0_cmask,1.0,train,0.9-1.0
chip_169_015_1_cmask,0.5523557079081632,train,0.5-0.6
chip_169_015_2_cmask,1.0,train,0.9-1.0
chip_169_015_4_cmask,1.0,train,0.9-1.0
chip_169_015_5_cmask,1.0,train,0.9-1.0
chip_165_011_0_cmask,0.9995416135204082,train,0.9-1.0
chip_165_011_1_cmask,0.0951849489795918,train,0.01-0.1
chip_165_011_2_cmask,0.7892817283163265,train,0.7-0.8
chip_165_011_3_cmask,0.5199497767857143,train,0.5-0.6
chip_165_011_4_cmask,0.4834382971938775,train,0.4-0.5
chip_165_011_5_cmask,1.0,train,0.9-1.0
chip_168_009_0_cmask,0.6446508290816326,train,0.6-0.7
chip_168_009_2_cmask,1.0,train,0.9-1.0
chip_168_009_4_cmask,1.0,train,0.9-1.0
chip_168_009_5_cmask,1.0,train,0.9-1.0
chip_172_019_0_cmask,1.0,train,0.9-1.0
chip_172_019_1_cmask,0.7611607142857143,train,0.7-0.8
chip_172_019_2_cmask,1.0,train,0.9-1.0
chip_172_019_3_cmask,0.3211894132653061,train,0.3-0.4
chip_169_009_0_cmask,0.7265625,train,0.7-0.8
chip_169_009_2_cmask,1.0,train,0.9-1.0
chip_169_009_3_cmask,0.8586176658163265,train,0.8-0.9
chip_169_009_4_cmask,1.0,train,0.9-1.0
chip_169_009_5_cmask,1.0,train,0.9-1.0
chip_175_017_0_cmask,1.0,train,0.9-1.0
chip_175_017_1_cmask,0.257991868622449,train,0.2-0.3
chip_175_017_2_cmask,1.0,train,0.9-1.0
chip_175_017_4_cmask,0.2601642219387755,train,0.2-0.3
chip_170_013_0_cmask,1.0,train,0.9-1.0
chip_170_013_1_cmask,0.0222417091836734,train,0.01-0.1
chip_170_013_2_cmask,1.0,train,0.9-1.0
chip_170_013_3_cmask,0.4019650829081632,train,0.4-0.5
chip_170_013_4_cmask,0.951072225765306,train,0.9-1.0
chip_170_013_5_cmask,1.0,train,0.9-1.0
chip_161_014_0_cmask,0.1943558673469387,train,0.1-0.2
chip_161_014_1_cmask,0.1263751594387755,train,0.1-0.2
chip_161_014_2_cmask,0.0285196109693877,train,0.01-0.1
chip_161_014_3_cmask,0.3607501594387755,train,0.3-0.4
chip_161_014_4_cmask,0.4131855867346938,train,0.4-0.5
chip_161_014_5_cmask,0.8004424426020408,train,0.8-0.9
chip_222_023_0_cmask,0.4198820153061224,train,0.4-0.5
chip_202_016_1_cmask,1.0,train,0.9-1.0
chip_202_016_2_cmask,0.0623804209183673,train,0.01-0.1
chip_202_016_3_cmask,0.3240194515306122,train,0.3-0.4
chip_202_016_4_cmask,0.0166214923469387,train,0.01-0.1
chip_202_016_5_cmask,0.2504783163265306,train,0.2-0.3
chip_203_017_0_cmask,0.6700613839285714,train,0.6-0.7
chip_203_017_1_cmask,1.0,train,0.9-1.0
chip_203_017_2_cmask,0.0692362882653061,train,0.01-0.1
chip_203_017_4_cmask,0.0361128826530612,train,0.01-0.1
chip_203_017_5_cmask,0.9811463647959184,train,0.9-1.0
chip_197_017_0_cmask,0.8410395408163265,train,0.8-0.9
chip_197_017_1_cmask,1.0,train,0.9-1.0
chip_197_017_2_cmask,0.2224569515306122,train,0.2-0.3
chip_197_017_3_cmask,0.5840043048469388,train,0.5-0.6
chip_197_017_4_cmask,0.1252391581632653,train,0.1-0.2
chip_197_017_5_cmask,0.7278579400510204,train,0.7-0.8
chip_202_017_0_cmask,0.8518016581632653,train,0.8-0.9
chip_202_017_1_cmask,1.0,train,0.9-1.0
chip_202_017_2_cmask,0.0565210459183673,train,0.01-0.1
chip_202_017_3_cmask,0.1083785076530612,train,0.1-0.2
chip_202_017_4_cmask,0.0314692283163265,train,0.01-0.1
chip_202_017_5_cmask,0.2201052295918367,train,0.2-0.3
chip_198_016_0_cmask,0.5949657206632653,train,0.5-0.6
chip_198_016_1_cmask,1.0,train,0.9-1.0
chip_198_016_2_cmask,0.0110809948979591,train,0.01-0.1
chip_198_016_3_cmask,0.9999800701530612,train,0.9-1.0
chip_198_016_4_cmask,0.0279217155612244,train,0.01-0.1
chip_198_016_5_cmask,0.9786750637755102,train,0.9-1.0
chip_200_016_0_cmask,0.6073022959183674,train,0.6-0.7
chip_200_016_1_cmask,1.0,train,0.9-1.0
chip_200_016_2_cmask,0.0172791772959183,train,0.01-0.1
chip_200_016_3_cmask,0.9038584183673468,train,0.9-1.0
chip_200_016_5_cmask,0.2438217474489795,train,0.2-0.3
chip_199_016_0_cmask,0.4051339285714285,train,0.4-0.5
chip_199_016_1_cmask,1.0,train,0.9-1.0
chip_199_016_3_cmask,0.9670958227040816,train,0.9-1.0
chip_199_016_4_cmask,0.0393415178571428,train,0.01-0.1
